feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,svr_regressor,800,200,0.7773254583695984,0.7416337027431243,0.5469180971501224,0.4197026320201789
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,svr_regressor,800,200,0.6683166160723928,0.6290843787117946,0.45235282130443405,0.604631260709219
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,svr_regressor,800,200,0.6623032526127077,0.6544812797955439,0.470641501966361,0.5096817920838149
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,svr_regressor,800,200,0.8339442883288303,0.831577913131497,0.6289763312630896,0.4343160527778252
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,U,svr_regressor,800,200,0.7720634492769519,0.7725252584135075,0.571701885744889,0.5031797637070886
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,O,svr_regressor,800,200,0.7925857849068496,0.7871892164569074,0.5867505873015768,0.6649190130441444
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,TSV,svr_regressor,800,200,0.8127817735903906,0.771458208890382,0.5921886101120566,0.38908849717203103
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,B,svr_regressor,800,200,0.663320316516956,0.6214823114636918,0.4460029488128611,0.6082855154484234
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,SR,svr_regressor,800,200,0.6311050795037553,0.6386107759066839,0.4651116402684012,0.5308154773876365
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,S,svr_regressor,800,200,0.7896642205538653,0.7859017369699481,0.5961103580571083,0.48497125519351414
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,U,svr_regressor,800,200,0.7369434659299815,0.7222145761791716,0.5323678302590097,0.5263435258553173
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,O,svr_regressor,800,200,0.7979207686462937,0.7856486583007117,0.59700828888779,0.6508102658986058
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,TSV,svr_regressor,800,200,0.8414585770522208,0.8109282021378744,0.6242803737450722,0.3585120759659411
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,B,svr_regressor,800,200,0.6575191238010596,0.6180754452139747,0.44197128373884653,0.6139483049846578
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,SR,svr_regressor,800,200,0.7001949715062485,0.6979346594413378,0.5087472762123022,0.48564121622232165
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,S,svr_regressor,800,200,0.8487485740622661,0.8465910497197685,0.6491783514906193,0.4169210377818674
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,U,svr_regressor,800,200,0.8025001611562391,0.7978771080542657,0.6103317509791029,0.4738027121465793
level1_V1,"V1_1, V1_2, V1_3, V1_4, V1_5...",256,O,svr_regressor,800,200,0.8345593327759304,0.8336272194952968,0.6439724716403543,0.6070388341392093
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,TSV,svr_regressor,800,200,0.8277841933905776,0.7920549990349811,0.6047637526014827,0.37266786724535383
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,B,svr_regressor,800,200,0.6985439891679341,0.6644049257908187,0.48178397634474035,0.5805256634865228
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,SR,svr_regressor,800,200,0.7083041995860198,0.7016915287220229,0.5101548773717829,0.480174948432546
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,S,svr_regressor,800,200,0.8616038203037402,0.8545277540899082,0.6584250473161554,0.401346397330879
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,U,svr_regressor,800,200,0.8191075618723445,0.8142930700993908,0.6147580897038565,0.45433038265951675
level1_U1_S1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,O,svr_regressor,800,200,0.8394339235016585,0.8338867292918127,0.639044752250899,0.588441199146078
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,TSV,svr_regressor,800,200,0.8399696898399103,0.814450380009002,0.6246827783047338,0.35979873004835944
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,B,svr_regressor,800,200,0.7026080411288909,0.676778255965925,0.49347580505938266,0.5805737247787196
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,SR,svr_regressor,800,200,0.7268839996545085,0.7241997433583504,0.5306656371242157,0.46848660155036054
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,S,svr_regressor,800,200,0.8737999582360033,0.8729774791703342,0.6764159011506221,0.38574588567015966
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,U,svr_regressor,800,200,0.8246549779871639,0.8303152650648024,0.6385999596530978,0.45331101649039585
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,O,svr_regressor,800,200,0.8511539042756966,0.8401802168714805,0.6480956654152047,0.573008120402912
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,TSV,svr_regressor,800,200,0.8471511813186713,0.8137813462225783,0.6310206501194046,0.35298111583288344
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,B,svr_regressor,800,200,0.6908669971646006,0.6522686210967582,0.4744261875846638,0.5881420136543708
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,SR,svr_regressor,800,200,0.7308727694123205,0.7285213805704304,0.5434345904995046,0.46486566524287365
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,S,svr_regressor,800,200,0.8490426827997877,0.846442545895795,0.6476707380408037,0.413835283968445
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,U,svr_regressor,800,200,0.8283770770197263,0.8314035622698775,0.6355820014316749,0.443936607076808
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,O,svr_regressor,800,200,0.8458956725236052,0.8356162945830431,0.6505092422590195,0.5827917389401465
level1_U1_S1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,TSV,svr_regressor,800,200,0.8487698457002925,0.8222567742344487,0.6402759549916223,0.35069660397638547
level1_U1_S1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,B,svr_regressor,800,200,0.7295442747702139,0.7108026637055588,0.5222014187117363,0.5611844742187322
