label,metric,rank,model,feature_combination,score,plcc,srcc,krcc,rmse,feature_count
TSV,PLCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.879728114047296,0.879728114047296,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,PLCC,2,svr_regressor,combined_S1_V1_S2_V2,0.8758543370357859,0.8758543370357859,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,PLCC,3,svr_regressor,combined_U1_V1_U2_V2,0.8714461131728879,0.8714461131728879,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,PLCC,4,svr_regressor,level2_U2_S2_V2,0.8661837978428543,0.8661837978428543,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,PLCC,5,svr_regressor,combined_V1_V2,0.8622154897209084,0.8622154897209084,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,PLCC,6,svr_regressor,level2_U2_V2,0.8590097010299813,0.8590097010299813,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,PLCC,7,ridge_regressor,combined_U1_V1_U2_V2,0.8545019142638013,0.8545019142638013,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
TSV,PLCC,8,ridge_regressor,combined_U1_S1_V1_U2_S2_V2,0.8488988487936681,0.8488988487936681,0.8126075369448281,0.6277008125021961,0.3646214025907771,1152
TSV,PLCC,9,svr_regressor,level1_U1_S1_V1,0.8481411938975854,0.8481411938975854,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,PLCC,10,svr_regressor,level2_S2_V2,0.8477637689544384,0.8477637689544384,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,SRCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.8574215500670616,0.879728114047296,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,SRCC,2,svr_regressor,combined_S1_V1_S2_V2,0.852003276442482,0.8758543370357859,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,SRCC,3,svr_regressor,combined_U1_V1_U2_V2,0.8471452811121383,0.8714461131728879,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,SRCC,4,svr_regressor,combined_V1_V2,0.838076573139437,0.8622154897209084,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,SRCC,5,svr_regressor,level2_U2_S2_V2,0.8321152720917958,0.8661837978428543,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,SRCC,6,svr_regressor,level2_U2_V2,0.8271665221783162,0.8590097010299813,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,SRCC,7,ridge_regressor,combined_U1_V1_U2_V2,0.8238108527159173,0.8545019142638013,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
TSV,SRCC,8,svr_regressor,level1_U1_S1_V1,0.8222567742344487,0.8481411938975854,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,SRCC,9,svr_regressor,level2_S2_V2,0.8178465515167674,0.8477637689544384,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,SRCC,10,mlp_regressor,combined_S1_V1_S2_V2,0.817265272161971,0.8393690382219712,0.817265272161971,0.6229725589261719,0.3751495233530312,768
TSV,KRCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.6746815448426923,0.879728114047296,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,KRCC,2,svr_regressor,combined_S1_V1_S2_V2,0.6688466787275985,0.8758543370357859,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,KRCC,3,svr_regressor,combined_U1_V1_U2_V2,0.6585853624562268,0.8714461131728879,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,KRCC,4,svr_regressor,level2_U2_S2_V2,0.6507384735428249,0.8661837978428543,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,KRCC,5,svr_regressor,combined_V1_V2,0.6491288553041783,0.8622154897209084,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,KRCC,6,svr_regressor,level1_U1_S1_V1,0.6402759549916223,0.8481411938975854,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,KRCC,7,svr_regressor,level2_U2_V2,0.6373585219340754,0.8590097010299813,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,KRCC,8,ridge_regressor,combined_U1_V1_U2_V2,0.6365537128147521,0.8545019142638013,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
TSV,KRCC,9,svr_regressor,level1_S1_V1,0.6310206501194046,0.8463302743136316,0.8137813462225783,0.6310206501194046,0.35298111583288344,512
TSV,KRCC,10,svr_regressor,level2_S2_V2,0.6294110318807581,0.8477637689544384,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,RMSE,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.31575426161054565,0.879728114047296,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,RMSE,2,svr_regressor,combined_S1_V1_S2_V2,0.3196256416706438,0.8758543370357859,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,RMSE,3,svr_regressor,combined_U1_V1_U2_V2,0.3284606759235157,0.8714461131728879,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,RMSE,4,svr_regressor,level2_U2_S2_V2,0.33285151082780845,0.8661837978428543,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,RMSE,5,svr_regressor,combined_V1_V2,0.33921354854132746,0.8622154897209084,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,RMSE,6,svr_regressor,level2_U2_V2,0.3432580620164466,0.8590097010299813,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,RMSE,7,svr_regressor,level1_U1_S1_V1,0.35069660397638547,0.8481411938975854,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,RMSE,8,svr_regressor,level2_S2_V2,0.35206479744005986,0.8477637689544384,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,RMSE,9,svr_regressor,level1_S1_V1,0.35298111583288344,0.8463302743136316,0.8137813462225783,0.6310206501194046,0.35298111583288344,512
TSV,RMSE,10,svr_regressor,combined_U1_S1_U2_S2,0.35665411895907106,0.8430262933982317,0.8077315407054326,0.6188479121896402,0.35665411895907106,768
B,PLCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.7388272448945185,0.7388272448945185,0.7134481981095112,0.5197824196673276,0.5555406659097089,1152
B,PLCC,2,catboost_regressor,level2_U2_S2_V2,0.7353603262193958,0.7353603262193958,0.6768652653197267,0.4945845129547366,0.5509616754423106,384
